,primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
538,REDUCING LONG COUPLING,RED LONG CPLG,REDUCING LNG CPLG,RED LNG CPLG,REDUC LONG CPLG,RED LONG COUPLING,REDUCING LONG CPLNG,RED LG CPLG,REDUCING L CPLG,REDUC LG COUPLING,REDUCING LONG CPLG,,,,,,,,,,,,
539,RISER CLAMP,RISER CLMP,CLAMP RISER,CLMP RISER,RSR CLAMP,RSR CLMP,R/CLAMP,R/CLMP,R CLAMP,R CLMP,RISER CLP,,,,,,,,,,,,
540,ROUND BULL PLUG,RND BULL PLUG,RD BULL PLUG,ROUND BULLPLUG,RND BULLPLUG,RD BULLPLUG,BULL PLUG RND,BULL PLUG RD,BULLPLUG RND,BULLPLUG RD,RND BLP,,,,,,,,,,,,
541,ROUND HEAD EYE NUT,RH EYE NUT,RND HD EYE NUT,ROUND HD EYE NUT,RD HD EYE NUT,RHEY NUT,RH EYE N,RND HEAD E-NUT,ROUND EYE NUT,R.H. EYE NUT,RND EYE NUT,,,,,,,,,,,,
542,SEAL FITTING,SEAL FTG,SL FTG,SEAL FIT,SL FIT,SL FITTING,SEALING FITTING,SEAL-FTG,SEALFTG,SLFTG,SL-FTG,,,,,,,,,,,,
543,SPUD,SPD,SPUD FITTING,SPUD CONNECTION,SPUD CONNECTOR,SPUDPIECE,SPUD PIECE,SP,SPUD FTG,SPUD CONN,SPUD-CONN,,,,,,,,,,,,
544,SQUARE TUBE,SQ TUBE,SQ TB,SQTUBE,SQR TUBE,SQR TB,SQUARE TB,SQ TUBING,SQUARE TUBING,SQR TUBING,SQTB,,,,,,,,,,,,
545,SR 180 DEGREE ELBOW,SR 180 ELL,SR 180° ELL,SR 180 ELBOW,SR 180° ELBOW,ELBOW SR 180,ELL SR 180,180 SR ELBOW,180° SR ELBOW,180 SR ELL,180° SR ELL,,,,,,,,,,,,
546,SR 90 DEGREE ELBOW,SR 90 ELL,SR 90° ELL,SR 90 ELBOW,SR 90° ELBOW,ELBOW SR 90,ELL SR 90,SHORT RADIUS 90 ELBOW,SHORT RADIUS 90 ELL,SR90 ELBOW,SR90 ELL,,,,,,,,,,,,
547,SR 90 ELBOW,SR 90 ELL,SR 90° ELL,SR 90 ELBOW,SR 90° ELBOW,ELBOW SR 90,ELL SR 90,SHORT RADIUS 90 ELBOW,SHORT RADIUS 90 ELL,SHORT RAD 90 ELBOW,SHORT RAD 90 ELL,,,,,,,,,,,,
548,SR RETURN BEND,SR RTN BND,SR RET BEND,SR RTN BEND,SR RETURN B,SR RET B,SR RTN B,SHORT RADIUS RETURN BEND,SHORT RAD RETURN BEND,SHORT RADIUS RTN BND,SR 180 RETURN,,,,,,,,,,,,
549,STANDARD WELD TEE,STD WELD TEE,STD WLD TEE,STANDARD W TEE,STD W TEE,WELD TEE STD,WLD TEE STD,TEE STD WELD,TEE WLD STD,TEE W STD,STD WT,,,,,,,,,,,,
550,STEM,STM,VALVE STEM,VLV STM,V/STM,V-STM,VLV-STM,VALVE-STEM,V.STM,VLVSTM,VALVESTEM,,,,,,,,,,,,
551,STRAIGHT ROD COUPLING,STR ROD CPLG,STR ROD COUPLING,STRAIGHT ROD CPLG,ROD COUPLING STR,ROD CPLG STR,STR RD CPLG,STR RD COUPLING,STRAIGHT RD CPLG,STRAIGHT RD COUPLING,SRC,,,,,,,,,,,,
552,STRUT,STRUCTURAL SUPPORT,SUPPORT STRUT,PIPE STRUT,CHANNEL STRUT,STR,STRT,STRUCT,SUPPORT CHANNEL,METAL STRUT,MOUNTING STRUT,,,,,,,,,,,,
553,SWAGE,SWG,SWAG,SWEDGE,SWEDG,SWDG,SWAGED,SWAGING,SWGD,SWG NIPPLE,SWAGE NIPPLE,,,,,,,,,,,,
554,SWAGE CONCENTRIC,CONCENTRIC SWAGE,SWAGE CONC,CONC SWAGE,SWAGE CON,CON SWAGE,SWG CONC,CONC SWG,SWG CON,CON SWG,CONCENTRIC REDUCER,,,,,,,,,,,,
555,SWAGE NIPPLE,SWAGE NIP,SWG NIP,SWAGE,SWG NIPPLE,SWAGE NPL,SWG NPL,REDUCER NIPPLE,RED NIPPLE,CONCENTRIC NIPPLE,ECCENTRIC NIPPLE,,,,,,,,,,,,
556,THREADED AND COUPLED,T&C,THD & CPLG,THD AND CPLG,THRD & CPLG,THRD AND CPLG,T AND C,T + C,THD & COUPLED,THREADED & COUPLED,T/C,,,,,,,,,,,,
557,THREADED AND COUPLED PIPE,T&C PIPE,THD & CPLG PIPE,THRD & CPLG PIPE,THD AND CPLG PIPE,T AND C PIPE,T/C PIPE,T-C PIPE,THD & CPL PIPE,THRD AND COUPLED PIPE,T&C LINE PIPE,,,,,,,,,,,,
558,TRANSITION FITTING,TRANS FTG,TRANS FITTING,TRANSITION FTG,TRN FTG,TRANS-FTG,TRN FITTING,TRAN FTG,TRAN FITTING,TR FTG,TRANSITION,,,,,,,,,,,,
559,TURNBUCKLE,TRNBKL,TURN BUCKLE,TURN-BUCKLE,T-BUCKLE,T BUCKLE,T/BUCKLE,TURN/BUCKLE,T.BUCKLE,TURNBKL,T-BKL,,,,,,,,,,,,
560,U BOLT WITH NUTS,U-BOLT W/ NUTS,U-BOLT WITH NUTS,U BOLT W/NUTS,U-BOLT & NUTS,UBOLT WITH NUTS,U-BOLT/NUTS,U BOLT + NUTS,U-BOLT AND NUTS,UBOLT W/NUTS,U-BOLT ASSEMBLY,,,,,,,,,,,,
561,VALVE BOX BOTTOM,VLV BOX BTM,VB BOTTOM,VLV BX BTM,V/B BOTTOM,VALVE BX BTM,V.B. BOTTOM,VLV BOX BASE,VALVE BX BASE,VB BASE,V/B BASE,,,,,,,,,,,,
562,VALVE HANDLE,VLV HANDLE,VLV HDL,VALVE HDL,V/HANDLE,V/HDL,VALVE LEVER,VLV LEVER,HANDLE VLV,HDL VLV,V HANDLE,,,,,,,,,,,,
563,WEDGE ANCHOR,WDG ANCHR,WEDGE ANCR,WDG ANCHOR,WEDG ANCHR,W ANCHOR,WDG ANC,WEDGE ANC,W ANC,WDG-ANCHR,WEDGE-ANCHOR,,,,,,,,,,,,
564,WELD BEAM ATTACHMENT,WBA,WELD BM ATTACH,WLD BM ATTACH,BEAM ATTACHMENT WELD,W.B.A.,WELD BEAM ATTACH,WLD BEAM ATTACHMENT,WELDED BEAM ATTACHMENT,BEAM WELD ATTACHMENT,WELD BM ATT,,,,,,,,,,,,
565,WELD TEE,WLD TEE,WELDING TEE,BW TEE,BUTT WELD TEE,BUTTWELD TEE,BW T,WELD T,WLD T,BUTT WELD T,BUTTWELD T,,,,,,,,,,,,
566,WELD BEAM,WLD BEAM,W BEAM,W/BEAM,WELDED BEAM,W-BEAM,WLD BM,W BM,WBEAM,W.BEAM,WELD BM,,,,,,,,,,,,
567,403. 0.25 BEND,403-0.25 BEND,403-0.25° BEND,403 QUARTER BEND,403 1/4 BEND,403 90° BEND,403 90 DEG BEND,403-90 BEND,403.90 BEND,403 90 BEND,403-90° BEND,,,,,,,,,,,,
568,404. 0.125 BEND,404. 1/8 BEND,404 0.125 BEND,404 1/8 BEND,404. 45° BEND,404 45° BEND,404. 45 DEG BEND,404 45 DEG BEND,0.125 404 BEND,45° 404 BEND,45 DEG 404 BEND,,,,,,,,,,,,
569,BEND,BND,ELBOW,ELL,PIPE BEND,PIPE BND,PB,BENDING,BENT,BND PIPE,PIPE ELBOW,,,,,,,,,,,,
570,BLIND PLUG,BL PLUG,B PLUG,BLD PLUG,BLND PLUG,BLIND PLG,BL PLG,B PLG,BLD PLG,BLND PLG,PLG BLIND,,,,,,,,,,,,
571,COMBINATION LONG T-WYE,COMB LONG T-WYE,COMB LNG T-WYE,COMBO LNG T-WYE,COMBO LONG T-WYE,COMB T-WYE LONG,COMBO T-WYE LONG,CLT-WYE,COMB L T-WYE,COMBINATION T-WYE LONG,CLTW,,,,,,,,,,,,
572,CORED PLUG,CPLUG,C-PLUG,CORD PLG,CORED PLG,C PLUG,CRD PLG,C.PLUG,C/PLUG,COR PLG,CORED-PLUG,,,,,,,,,,,,
573,DIAPHRAGM,DIAPH,DIA,DIAP,DPHM,DIAPHM,DIAFRM,DPH,DIAFRAM,DIAPHRAM,DIAPRM,,,,,,,,,,,,
574,DOUBLE COMBINATION LONG T-WYE,DBL COMB LONG T-WYE,DOUBLE COMB LONG T-WYE,DBL COMBINATION LONG T-WYE,DBL CMB LNG T-WYE,DOUBLE CMB LNG T-WYE,DBL COMB L T-WYE,DOUBLE COMB L T-WYE,DBL COMBINATION L T-WYE,DCL T-WYE,DCLW,,,,,,,,,,,,
575,DOUBLE WYE,DBL WYE,DOUBLE Y,DBL Y,DY,D WYE,D Y,DOUBLE WY,DBL WY,DWY,D-WYE,,,,,,,,,,,,
576,INCREASER,INCR,INC,INCRS,INCREASR,RED INCR,REDUCING INCREASER,INC RED,INCREASER REDUCER,INCR RDCR,SIZE INCREASER,,,,,,,,,,,,
577,LONG T-WYE,LNG T-WYE,LONG TWY,LNG TWY,LONG TEE WYE,LNG TEE WYE,LONG T WYE,LNG T WYE,LONG TEE-WYE,LNG TEE-WYE,L T-WYE,,,,,,,,,,,,
578,LR BEND,LONG RADIUS BEND,L.R. BEND,LR BND,L R BEND,L.R.B.,LONG RAD BEND,L-R BEND,LRB,LONG-RADIUS BEND,L/R BEND,,,,,,,,,,,,
579,NAN,NANOMETER,NM,NANO,NANO METER,N-METER,N.M.,N.A.N.,N-M,N/M,N METER,,,,,,,,,,,,
580,P TRAP,P-TRAP,P TRP,P.TRAP,PTRAP,P TYPE TRAP,P-TYPE TRAP,P STYLE TRAP,P-STYLE TRAP,P BEND,P-BEND,,,,,,,,,,,,
581,RIM,RING,R.I.M.,R-I-M,R/I/M,R.I.M,RING INSERT METALLIC,RING INSERT MET,RING-INSERT-MET,RING/INSERT/MET,RING.INSERT.MET,,,,,,,,,,,,
582,RUNNING TRAP,RUN TRAP,RUNNING TRP,RUN TRP,RTR,R TRAP,RUNTRAP,RUN-TRAP,RUNNING-TRAP,RUNNING-TRP,RUN-TRP,,,,,,,,,,,,
583,SCREWED VALVE,SCR VLV,SCRWD VLV,SCRW VLV,SCRD VLV,NPT VALVE,THD VALVE,THREADED VALVE,SCREWED-END VALVE,SCR. VALVE,THD. VALVE,,,,,,,,,,,,
584,SHORT RADIUS 45 DEGREE ELBOW,SR 45 ELBOW,SR 45 ELL,SR 45° ELBOW,SR 45° ELL,SHORT RAD 45 ELBOW,SHORT RAD 45 ELL,SR 45,S.R. 45 ELBOW,S.R. 45° ELL,SHORT R 45 ELL,,,,,,,,,,,,
585,SOIL,SOIL PIPE,SL PIPE,SOIL LINE,SL LINE,SOIL PIPING,SL PIPING,SOIL PIP,SL PIP,SOIL P,SL P,,,,,,,,,,,,
586,SOIL PIPE,SP,SOIL P,SL PIPE,SEWER PIPE,S PIPE,SL P,SOILP,S.P.,S-P,S/P,,,,,,,,,,,,
587,SOLID PLUG,SOL PLUG,SLD PLUG,SOLID PLG,SLD PLG,SOL PLG,S PLUG,SPLG,SOLID PL,S-PLUG,S/PLUG,,,,,,,,,,,,
588,TEST PLUG,TEST PLG,TST PLG,TST PLUG,TEST-PLG,TEST-PLUG,T-PLUG,T-PLG,T PLUG,T PLG,TESTING PLUG,,,,,,,,,,,,
589,VALVE BOX,VB,VLV BOX,V BOX,V-BOX,VBOX,VALVE BX,VLV BX,V.BOX,V/BOX,VALVE-BOX,,,,,,,,,,,,
590,SHOWER,SHWR,SHR,SHOWER HEAD,SHWR HEAD,SHOWER UNIT,SHWR UNIT,EMERGENCY SHOWER,EMRG SHWR,SAFETY SHOWER,SFTY SHWR,,,,,,,,,,,,
591,LA TRAP,LA STM TRAP,LEVER & ACTUATOR TRAP,LEVER ACTUATOR TRAP,L&A TRAP,L/A TRAP,LEVER ACTION TRAP,LVR ACTR TRAP,L.A. TRAP,L A TRAP,LA-TRAP,,,,,,,,,,,,
592,FAUCET,FAUCET,FAU,FAUCT,FCT,WATER TAP,TAP,SPIGOT,WATER VALVE,FAUCET VALVE,F.C.T,,,,,,,,,,,,
593,RIGID COUPLING,RGD CPLG,RGD COUPLING,RIGID CPLG,RGD CPLNG,RIGID CPLNG,RIG COUPLING,RIG CPLG,RGID COUPLING,RGID CPLG,RIGID CPL,,,,,,,,,,,,
594,STRUT CLAMP,STRUT CLP,STR CLP,STRUT CLMP,STR CLMP,CHANNEL CLAMP,CHNL CLAMP,CHNL CLP,STRT CLMP,S/CLAMP,S/CLP,,,,,,,,,,,,
595,TRAP ADAPTER,TRAP ADPTR,TRP ADPTR,TRP ADAPTER,TRAP ADAPT,TRP ADAPT,TRAP-ADPTR,TRAP-ADAPTER,TRP-ADPTR,TRP-ADAPTER,TRAP COUPLING,,,,,,,,,,,,
596,BULKHEAD,BLKHD,BH,BULKHEAD FITTING,BLK HD,B/H,BULK HD,B.H.,BLKHD FTG,BH FTG,BULKHEAD CONNECTOR,,,,,,,,,,,,
597,VAN STONE FLANGE,VAN STONE FLG,VANSTONE FLANGE,VANSTONE FLG,VS FLANGE,VS FLG,V.S. FLANGE,V.S. FLG,V/S FLANGE,V/S FLG,VSF,,,,,,,,,,,,
598,45 DEGREE BEND,45° BEND,45 DEG BEND,45 DEGREE BND,45° BND,45 DEG BND,BEND 45 DEGREE,BEND 45°,BEND 45 DEG,BND 45 DEG,BND 45°,,,,,,,,,,,,
599,BACKING RING,BACK RING,B/RING,B RING,B/R,B.R.,BKING RING,BK RING,BACKING RNG,BCK RING,BCKNG RNG,,,,,,,,,,,,
600,BACK-UP FLANGE,BUF,BACKUP FLANGE,BACK UP FLANGE,B/U FLANGE,B-U FLANGE,BACK-UP FLG,BACKUP FLG,B/U FLG,B-U FLG,BU FLANGE,,,,,,,,,,,,
601,BAS RIM AND GUIDE,BASE RIM AND GUIDE,BAS RIM & GUIDE,BASE RIM & GUIDE,BAS R&G,BASE R&G,BAS R & G,BASE R & G,BAS GUIDE & RIM,BASE GUIDE & RIM,BAS GDE & RIM,,,,,,,,,,,,
602,BASE RIM AND GUIDE,BASE RIM & GUIDE,GUIDE & BASE RIM,GUIDE AND BASE RIM,RIM AND GUIDE BASE,RIM & GUIDE BASE,B/R AND GUIDE,B/R & GUIDE,BASE R&G,BASE R & G,BR&G,,,,,,,,,,,,
603,BLIND UNION FLANGE,BLN UNION FLG,BLIND UN FLG,BU FLANGE,BU FLG,BLND UNION FLANGE,BLND UN FLG,BLIND UNION,BLN UN,B.U. FLANGE,B.U.F.,,,,,,,,,,,,
604,BUSHING FLANGE,BUSH FLG,BUSH FLANGE,BUSHING FLG,BSH FLG,BSH FLANGE,BSHG FLG,BSHG FLANGE,BG FLG,BG FLANGE,BUSH-FLG,,,,,,,,,,,,
605,CHAINWHEEL,CHAIN WHEEL,CHNWHL,CHN WHL,CH-WHL,CHAIN-WHEEL,CH WHEEL,CHAIN OPERATOR,CHN OPERATOR,CHAIN-OPERATOR,CH.WHL,,,,,,,,,,,,
606,GUIDE,GD,GUD,GUYD,GUID,GUIDE RAIL,GUIDE ROD,GUIDE PIN,GUIDE BAR,GUIDE BLOCK,GUIDE PLATE,,,,,,,,,,,,
607,MECHANICAL COVER KIT,MECH COVER KIT,MECH COV KIT,MCK,MECHANICAL CVR KIT,MECH CVR KIT,MECHANICAL COVER SET,MECH COVER SET,MECHANICAL CVR SET,MECH CVR SET,MECHANICAL KIT,,,,,,,,,,,,
608,MECHANICAL KIT,MECH KIT,MECH-KIT,MECHANICAL SET,MECH SET,MECH. KIT,MECH ASSEMBLY,MECHANICAL ASSEMBLY,M-KIT,MECHANICAL PKG,MECH PKG,,,,,,,,,,,,
609,MJ ADAPTER,MECHANICAL JOINT ADAPTER,MJ ADAPTOR,MECHANICAL JOINT ADAPTOR,MJ-ADAPTER,MJ-ADAPTOR,MECH JOINT ADAPTER,MECH JT ADAPTER,M.J. ADAPTER,M.J.A.,MJA,,,,,,,,,,,,
610,RIM AND GUIDE,R&G,RIM & GUIDE,R AND G,R + G,R-G,RIM/GUIDE,RIM + GUIDE,RIM-GUIDE,R+G,R/G,,,,,,,,,,,,
611,STUB END BACKUP FLANGE,STUB END BU FLG,STUB END B/U FLG,STUB END BACKUP FLG,STUB END B.U. FLANGE,SE BACKUP FLANGE,SE BU FLG,SE B/U FLG,SE BACKUP FLG,STUB END B-U FLG,SE B-U FLANGE,,,,,,,,,,,,
612,STUB END FLANGE,STUB FLG,STUB END FLG,STUB-END FLANGE,STUB FLANGE,SE FLANGE,SE FLG,STB END FLG,S.E. FLANGE,S.E. FLG,STUB-END FLG,,,,,,,,,,,,
613,FORGED STEEL GASKET,FGD STL GSK,FRGD STL GSK,FORGED STL GSKT,FGD STEEL GASKET,FORGED STL GSK,FRGD STEEL GSKT,FGD STL GSKT,FORGED STEEL GSK,FRGD STL GASKET,FORGED STL GASKET,,,,,,,,,,,,
614,FLANGE ADAPTER GASKET,FLG ADPTR GSK,FA GSK,FLANGE ADPTR GASKET,FLG ADAPTER GASKET,FL ADPTR GSK,FLNG ADPTR GSK,F.A. GASKET,FA GSKT,FLANGE ADPT GSK,F/A GASKET,,,,,,,,,,,,
615,GROOVED FLANGE ADAPTER,GRV FLG ADPT,GROOVE FLG ADAPTER,GRV FLANGE ADPTR,GROOVED FLG ADPT,GRV FLG ADP,GRVD FLG ADPTR,GRV-FLG-ADPT,GROOVE/FLG/ADPT,GRV.FLG.ADPT,GROOVED FLANGE ADP,,,,,,,,,,,,
616,GROOVED FLANGE ADAPTER GASKET,GROOVED FLG ADPTR GSKT,GRV FLG ADPTR GSKT,GRVD FLG ADPTR GSKT,GRV FLANGE ADAPTER GSK,GROOVED FLANGE ADPTR GSK,GRV FLG ADAPT GASKET,GRVD FLANGE ADAPT GSK,GROOVE FLG ADAPTER GSK,GRV FL ADAPTER GASKET,GROOVED FLANGE ADAPT SEAL,,,,,,,,,,,,
617,HANGER STRAP,HANG STRAP,HNGR STRAP,PIPE HANGER STRAP,HANGER STRP,HANG STRP,HNGR STRP,PIPE STRP,H STRAP,PIPE SUPPORT STRAP,SUPPORT STRAP,,,,,,,,,,,,
618,HEX HEAD CAP SCREW,HHCS,HEX HD CAP SCREW,HEX CAP SCREW,HH CAP SCREW,HEX HEAD SCREW,HEXHEAD CAP SCREW,HCS,H.H.C.S.,HEX HD CS,HEX HEAD C/S,,,,,,,,,,,,
619,455. HEX MACHINE BOLT,HEX MACHINE BOLT,HEX M BOLT,HEX MB,HMAB,HM BOLT,H.M.B.,MACHINE HEX BOLT,M HEX BOLT,455 HEX BOLT,455 HMB,,,,,,,,,,,,
620,LINK CHAIN,LNK CHN,LINK-CHAIN,LK CHAIN,L-CHAIN,L.CHAIN,LCHAIN,CHAIN LNK,CHAIN-LINK,CHAIN LINK,L/CHAIN,,,,,,,,,,,,
621,LIQUID LEAK DETECTOR,LLD,LEAK DETECTOR,LIQUID DETECTOR,LEAK TEST FLUID,LEAK TEST SOLUTION,LEAK CHECK FLUID,LEAK FINDING SOLUTION,LEAK DETECTION FLUID,LEAK LOCATOR,LEAK TESTING COMPOUND,,,,,,,,,,,,
622,T-GASKET,T GSK,T-GSK,TGSK,T GASKET,T-TYPE GASKET,T TYPE GSK,T.GSK,T/GSK,T/G,T.G,,,,,,,,,,,,
623,SHEET,SHT,SH,SHEE,METAL SHEET,FLAT SHEET,PLATE SHEET,STL SHEET,STEEL SHEET,SHEETMETAL,SH MTL,,,,,,,,,,,,
624,COVER KIT,CVR KIT,COVER SET,CVR SET,COVER ASSEMBLY,CVR ASSEMBLY,COVER ASSY,CVR ASSY,COVER PKG,CVR PKG,COVER PACKAGE,,,,,,,,,,,,
625,TUBE PLUG,TB PLG,TBPLG,T-PLG,T PLG,TUBE PLG,T/PLG,TUB PLG,T.PLG,TUBEPLUG,TUBE-PLG,,,,,,,,,,,,
626,45 WYE,45° WYE,45 DEG WYE,45° Y,45 DEG Y,WYE 45,WYE 45°,Y 45,Y 45°,45-Y,45Y,,,,,,,,,,,,
627,BF SADDLE,BUTTERFLY SADDLE,BUTTERFLY VLV SADDLE,BFV SADDLE,B/F SADDLE,B.F. SADDLE,BFLY SADDLE,B-F SADDLE,BTRFLY SADDLE,BTFLY SADDLE,B/FLY SADDLE,,,,,,,,,,,,
628,BLACK PIPE,BLK PIPE,BLK PP,BLACK PP,BLK PIP,BLACK PIP,B/P,BLK P,BLKP,BP,B PIPE,,,,,,,,,,,,
629,BRANCH FITTING SADDLE,BRANCH SADDLE,SADDLE BRANCH,BRANCH FTG SADDLE,BF SADDLE,BRANCH FITTING,SADDLE FITTING,BRANCH SADDLE FITTING,SADDLE BRANCH FITTING,B.F. SADDLE,BR FTG SADDLE,,,,,,,,,,,,
630,CORRUGATED,CORR,CORRUG,CORRG,COR,CRGTD,CRRUG,CRRGTD,CORRUGATE,CRGT,CRG,,,,,,,,,,,,
631,FAB TEE,FABRICATED TEE,FAB T,FABR TEE,FABRICATED T,FAB. TEE,FABR. TEE,FAB'D TEE,FABRICATED T-PIECE,FAB T-PIECE,FABR T,,,,,,,,,,,,
632,FABRICATED FLANGE,FAB FLANGE,FAB FLG,FABR FLANGE,FABR FLG,FABRICATED FLG,FAB. FLANGE,FAB. FLG,FABR. FLANGE,FABR. FLG,F/F,,,,,,,,,,,,
633,HDPE,HIGH DENSITY POLYETHYLENE,HIGH-DENSITY POLYETHYLENE,HDPE PIPE,HIGH DENSITY PE,HD POLYETHYLENE,H.D.P.E.,HIGH-DENSITY PE,HD PE,HDPE LINE,HIGH DENSITY PE PIPE,,,,,,,,,,,,
634,IRON PIPE SIZE PIPE,IPS PIPE,IPS,IRON PIPE SIZE,I.P.S. PIPE,I.P.S.,IRON PIPE,IP SIZE PIPE,IP SIZE,IRON PS PIPE,I P S,,,,,,,,,,,,
635,PERFORATED,PERF,PERFD,PERF'D,PERFORATD,PRF,PRFRTD,PER,PRFR,PERFRT,P'FTD,,,,,,,,,,,,
636,PLAIN SOLID PIPE,PSP,PLN SLD PIPE,PLAIN PIPE,SOLID PIPE,P/S PIPE,PLN PIPE,SLD PIPE,P.S.P.,P-S-P,P/S/P,,,,,,,,,,,,
637,REDUCER TEE,RED TEE,REDUCING TEE,TEE REDUCER,RDCR TEE,REDUC TEE,RED T,REDUCER T,REDUCING T,RDCR T,REDUC T,,,,,,,,,,,,
638,SADDLE ROUND BASE,SADDLE RD BASE,RD BASE SADDLE,ROUND BASE SADDLE,ROUND SADDLE BASE,SRB,RD SADDLE BASE,SADDLE BASE RD,SADDLE BASE ROUND,RND BASE SADDLE,SADDLE RND BASE,,,,,,,,,,,,
639,SADDLE TEE,SADDLE T,SDL TEE,SDL T,BRANCH SADDLE,WELDOLET,TEE SADDLE,SADDLE BRANCH,PIPE SADDLE,SADDLE FITTING,BRANCH CONNECTION,,,,,,,,,,,,
640,SOLID,SLD,SOL,SOLID STATE,S/L/D,S.L.D.,SLD ST,SOLST,S-L-D,S/L,S.L.,,,,,,,,,,,,
641,SOLID PIPE,SOL PIPE,SOLID PIP,S PIPE,SLD PIPE,SOLID PP,SOL PP,SLD PP,S PP,SOLID P,SLD P,,,,,,,,,,,,
642,SWAGED REDUCER,SWGD RED,SWG RED,SWAGED RED,SWGD REDUCER,SWG REDUCER,SWAGE REDUCER,SWGD RDR,SWAGED RDR,SWG RDR,SWAGE RDR,,,,,,,,,,,,
643,THREADED FITTING,THD FTG,THRD FTG,THD FITTING,THRD FITTING,SCREWED FITTING,SCR FTG,SCRD FTG,NPT FITTING,NPT FTG,THREADED FTG,,,,,,,,,,,,
644,WELDING ROD,WLD ROD,WELD ROD,W ROD,W/ROD,WLDG ROD,WELDING ELECTRODE,WLD ELECTRODE,WELD ELECTRODE,WELDING CONSUMABLE,WELD WIRE,,,,,,,,,,,,
645,ROD,RD,THREADED ROD,THD ROD,TH RD,T ROD,CONNECTING ROD,CONN ROD,ALL THREAD ROD,ALL-THREAD,ATR,,,,,,,,,,,,
646,ACCESSORY KIT,ACC KIT,ACCY KIT,ACCESS KIT,ACCESSORIES KIT,ACC SET,ACCY SET,ACCESS SET,ACCESSORY SET,ACC PACK,ACCY PACK,,,,,,,,,,,,
647,BUTTERFLY SPACER,BFV SPACER,BFLY SPACER,BTF SPACER,BF SPACER,BUTTERFLY SPC,BFV SPC,BFLY SPC,BTF SPC,BF SPC,BTFLY SPACER,,,,,,,,,,,,
648,BUTTERFLY VALVE SPACER,BFV SPACER,BFLY VLV SPACER,BTF VLV SPACER,BTRFLY VLV SPACER,BV SPACER,BTFLY SPACER,BTF SPACER,BFV-SPACER,BUTTERFLY SPACER,BFLY SPACER,,,,,,,,,,,,
649,CHAMFER,CHFR,CHMFR,CHAMP,CHF,CHAM,CHAMP EDGE,CHAMFERED,CHAMFERED EDGE,CHAMFER EDGE,CH,,,,,,,,,,,,
650,CLEANOUT WITH RAISED HEAD PLUG,C.O. W/ RAISED HEAD PLUG,CLEANOUT W/RAISED HEAD,CO W/RAISED HEAD PLUG,CLEANOUT RAISED HEAD,C.O. RAISED HEAD,RAISED HEAD CLEANOUT,RH CLEANOUT,RAISED HEAD CO,RH CO,CO RH PLUG,,,,,,,,,,,,
651,FABRICATED BRANCH SADDLE,FAB BRANCH SADDLE,FABRICATED BR SADDLE,FAB BR SADDLE,BRANCH SADDLE FAB,BR SADDLE FAB,FBR SADDLE,FAB SADDLE,BRANCH SDL FAB,BR SDL FAB,FABR BR SDL,,,,,,,,,,,,
652,GROOVED ADAPTER,GRV ADPTR,GROOVE ADPTR,GRV ADAPTER,GRVD ADPTR,GRVD ADAPTER,GRVED ADPTR,GRV-ADPTR,GROOVE-ADPTR,GRVED-ADPTR,GRVD-ADPTR,,,,,,,,,,,,
653,MECHANICAL TEE,MECH TEE,MECH T,MECHANICAL T,M-TEE,M TEE,M/TEE,M.TEE,MECH-TEE,M-T,M/T,,,,,,,,,,,,
654,QUICK CONNECT ADAPTER,QC ADAPTER,QUICK CONN ADPTR,Q/C ADAPTER,QUICK CONNECT ADPTR,QC ADPTR,Q-C ADAPTER,QUICK-CONNECT ADAPTER,Q.C. ADAPTER,QUICK CONN ADAPTER,Q/C ADPTR,,,,,,,,,,,,
655,TAP ON PIPE TEE,TAP ON TEE,TAPPED TEE,TEE WITH TAP,PIPE TEE W/TAP,TAPPED PIPE TEE,BRANCH TAP TEE,TEE WITH BRANCH TAP,PIPE TEE WITH TAP,BRANCH TAPPED TEE,TAPPING TEE,,,,,,,,,,,,
656,TRANSITION PIPE,TRANS PIPE,TRANSITION PP,TRANS PP,TRANS P,TRAN PIPE,TRANSITIONAL PIPE,TRANS-PIPE,TRANS. PIPE,TRAN-PIPE,TRNS PIPE,,,,,,,,,,,,
657,BOSS CLAMP,BOSS CLP,BS CLMP,BS CLP,BSS CLMP,BOSS-CLMP,BSS-CLP,BSS/CLP,BOSS/CLMP,B/CLMP,B.CLMP,,,,,,,,,,,,
658,EXTENSION PIECE,EXT PIECE,EXTENSION PC,EXT PC,EXT PCS,EXTENSION PCS,EXTENDER,EXTN PIECE,EXTN PC,EXT PCE,EXTENSION PCE,,,,,,,,,,,,
659,EXTERNAL PLUG,EXT PLUG,EX PLUG,EXTERNAL PLG,EXT PLG,EX PLG,EXTERNL PLG,EXTNL PLUG,EXTNL PLG,E PLUG,E PLG,,,,,,,,,,,,
660,ONE HOLE CLAMP,1-HOLE CLAMP,1 HOLE CLAMP,SINGLE HOLE CLAMP,1H CLAMP,1-H CLAMP,ONE-HOLE CLAMP,1HOLE CLAMP,1 H CLAMP,CLAMP 1H,CLAMP 1-HOLE,,,,,,,,,,,,
