primary_term,permutation_1,permutation_2,permutation_3,permutation_4,permutation_5,permutation_6,permutation_7,permutation_8,permutation_9,permutation_10,permutation_11,permutation_12,permutation_13,permutation_14,permutation_15,permutation_16,permutation_17,permutation_18,permutation_19,permutation_20,permutation_21,permutation_22
SQUARE TUBE,SQ TUBE,SQ TB,SQTUBE,SQR TUBE,SQR TB,SQUARE TB,SQ TUBING,SQUARE TUBING,SQR TUBING,SQTB,,,,,,,,,,,,
SR 180 DEGREE ELBOW,SR 180 ELL,SR 180° ELL,SR 180 ELBOW,SR 180° ELBOW,ELBOW SR 180,ELL SR 180,180 SR ELBOW,180° SR ELBOW,180 SR ELL,180° SR ELL,,,,,,,,,,,,
SR 90 DEGREE ELBOW,SR 90 ELL,SR 90° ELL,SR 90 ELBOW,SR 90° ELBOW,ELBOW SR 90,ELL SR 90,SHORT RADIUS 90 ELBOW,SHORT RADIUS 90 ELL,SR90 ELBOW,SR90 ELL,,,,,,,,,,,,
SR 90 ELBOW,SR 90 ELL,SR 90° ELL,SR 90 ELBOW,SR 90° ELBOW,ELBOW SR 90,ELL SR 90,SHORT RADIUS 90 ELBOW,SHORT RADIUS 90 ELL,SHORT RAD 90 ELBOW,SHORT RAD 90 ELL,,,,,,,,,,,,
SR RETURN BEND,SR RTN BND,SR RET BEND,SR RTN BEND,SR RETURN B,SR RET B,SR RTN B,SHORT RADIUS RETURN BEND,SHORT RAD RETURN BEND,SHORT RADIUS RTN BND,SR 180 RETURN,,,,,,,,,,,,
STANDARD WELD TEE,STD WELD TEE,STD WLD TEE,STANDARD W TEE,STD W TEE,WELD TEE STD,WLD TEE STD,TEE STD WELD,TEE WLD STD,TEE W STD,STD WT,,,,,,,,,,,,
STEM,STM,VALVE STEM,VLV STM,V/STM,V-STM,VLV-STM,VALVE-STEM,V.STM,VLVSTM,VALVESTEM,,,,,,,,,,,,
STRAIGHT ROD COUPLING,STR ROD CPLG,STR ROD COUPLING,STRAIGHT ROD CPLG,ROD COUPLING STR,ROD CPLG STR,STR RD CPLG,STR RD COUPLING,STRAIGHT RD CPLG,STRAIGHT RD COUPLING,SRC,,,,,,,,,,,,
STRUT,STRUCTURAL SUPPORT,SUPPORT STRUT,PIPE STRUT,CHANNEL STRUT,STR,STRT,STRUCT,SUPPORT CHANNEL,METAL STRUT,MOUNTING STRUT,,,,,,,,,,,,
SWAGE,SWG,SWAG,SWEDGE,SWEDG,SWDG,SWAGED,SWAGING,SWGD,SWG NIPPLE,SWAGE NIPPLE,,,,,,,,,,,,
SWAGE CONCENTRIC,CONCENTRIC SWAGE,SWAGE CONC,CONC SWAGE,SWAGE CON,CON SWAGE,SWG CONC,CONC SWG,SWG CON,CON SWG,CONCENTRIC REDUCER,,,,,,,,,,,,
SWAGE NIPPLE,SWAGE NIP,SWG NIP,SWAGE,SWG NIPPLE,SWAGE NPL,SWG NPL,REDUCER NIPPLE,RED NIPPLE,CONCENTRIC NIPPLE,ECCENTRIC NIPPLE,,,,,,,,,,,,
THREADED AND COUPLED,T&C,THD & CPLG,THD AND CPLG,THRD & CPLG,THRD AND CPLG,T AND C,T + C,THD & COUPLED,THREADED & COUPLED,T/C,,,,,,,,,,,,
THREADED AND COUPLED PIPE,T&C PIPE,THD & CPLG PIPE,THRD & CPLG PIPE,THD AND CPLG PIPE,T AND C PIPE,T/C PIPE,T-C PIPE,THD & CPL PIPE,THRD AND COUPLED PIPE,T&C LINE PIPE,,,,,,,,,,,,
TRANSITION FITTING,TRANS FTG,TRANS FITTING,TRANSITION FTG,TRN FTG,TRANS-FTG,TRN FITTING,TRAN FTG,TRAN FITTING,TR FTG,TRANSITION,,,,,,,,,,,,
TURNBUCKLE,TRNBKL,TURN BUCKLE,TURN-BUCKLE,T-BUCKLE,T BUCKLE,T/BUCKLE,TURN/BUCKLE,T.BUCKLE,TURNBKL,T-BKL,,,,,,,,,,,,
U BOLT WITH NUTS,U-BOLT W/ NUTS,U-BOLT WITH NUTS,U BOLT W/NUTS,U-BOLT & NUTS,UBOLT WITH NUTS,U-BOLT/NUTS,U BOLT + NUTS,U-BOLT AND NUTS,UBOLT W/NUTS,U-BOLT ASSEMBLY,,,,,,,,,,,,
VALVE BOX BOTTOM,VLV BOX BTM,VB BOTTOM,VLV BX BTM,V/B BOTTOM,VALVE BX BTM,V.B. BOTTOM,VLV BOX BASE,VALVE BX BASE,VB BASE,V/B BASE,,,,,,,,,,,,
VALVE HANDLE,VLV HANDLE,VLV HDL,VALVE HDL,V/HANDLE,V/HDL,VALVE LEVER,VLV LEVER,HANDLE VLV,HDL VLV,V HANDLE,,,,,,,,,,,,
WEDGE ANCHOR,WDG ANCHR,WEDGE ANCR,WDG ANCHOR,WEDG ANCHR,W ANCHOR,WDG ANC,WEDGE ANC,W ANC,WDG-ANCHR,WEDGE-ANCHOR,,,,,,,,,,,,
WELD BEAM ATTACHMENT,WBA,WELD BM ATTACH,WLD BM ATTACH,BEAM ATTACHMENT WELD,W.B.A.,WELD BEAM ATTACH,WLD BEAM ATTACHMENT,WELDED BEAM ATTACHMENT,BEAM WELD ATTACHMENT,WELD BM ATT,,,,,,,,,,,,
WELD TEE,WLD TEE,WELDING TEE,BW TEE,BUTT WELD TEE,BUTTWELD TEE,BW T,WELD T,WLD T,BUTT WELD T,BUTTWELD T,,,,,,,,,,,,
WELD BEAM,WLD BEAM,W BEAM,W/BEAM,WELDED BEAM,W-BEAM,WLD BM,W BM,WBEAM,W.BEAM,WELD BM,,,,,,,,,,,,
403. 0.25 BEND,403-0.25 BEND,403-0.25° BEND,403 QUARTER BEND,403 1/4 BEND,403 90° BEND,403 90 DEG BEND,403-90 BEND,403.90 BEND,403 90 BEND,403-90° BEND,,,,,,,,,,,,
404. 0.125 BEND,404. 1/8 BEND,404 0.125 BEND,404 1/8 BEND,404. 45° BEND,404 45° BEND,404. 45 DEG BEND,404 45 DEG BEND,0.125 404 BEND,45° 404 BEND,45 DEG 404 BEND,,,,,,,,,,,,
BEND,BND,ELBOW,ELL,PIPE BEND,PIPE BND,PB,BENDING,BENT,BND PIPE,PIPE ELBOW,,,,,,,,,,,,
BLIND PLUG,BL PLUG,B PLUG,BLD PLUG,BLND PLUG,BLIND PLG,BL PLG,B PLG,BLD PLG,BLND PLG,PLG BLIND,,,,,,,,,,,,
COMBINATION LONG T-WYE,COMB LONG T-WYE,COMB LNG T-WYE,COMBO LNG T-WYE,COMBO LONG T-WYE,COMB T-WYE LONG,COMBO T-WYE LONG,CLT-WYE,COMB L T-WYE,COMBINATION T-WYE LONG,CLTW,,,,,,,,,,,,
CORED PLUG,CPLUG,C-PLUG,CORD PLG,CORED PLG,C PLUG,CRD PLG,C.PLUG,C/PLUG,COR PLG,CORED-PLUG,,,,,,,,,,,,
DIAPHRAGM,DIAPH,DIA,DIAP,DPHM,DIAPHM,DIAFRM,DPH,DIAFRAM,DIAPHRAM,DIAPRM,,,,,,,,,,,,
DOUBLE COMBINATION LONG T-WYE,DBL COMB LONG T-WYE,DOUBLE COMB LONG T-WYE,DBL COMBINATION LONG T-WYE,DBL CMB LNG T-WYE,DOUBLE CMB LNG T-WYE,DBL COMB L T-WYE,DOUBLE COMB L T-WYE,DBL COMBINATION L T-WYE,DCL T-WYE,DCLW,,,,,,,,,,,,
DOUBLE WYE,DBL WYE,DOUBLE Y,DBL Y,DY,D WYE,D Y,DOUBLE WY,DBL WY,DWY,D-WYE,,,,,,,,,,,,
INCREASER,INCR,INC,INCRS,INCREASR,RED INCR,REDUCING INCREASER,INC RED,INCREASER REDUCER,INCR RDCR,SIZE INCREASER,,,,,,,,,,,,
LONG T-WYE,LNG T-WYE,LONG TWY,LNG TWY,LONG TEE WYE,LNG TEE WYE,LONG T WYE,LNG T WYE,LONG TEE-WYE,LNG TEE-WYE,L T-WYE,,,,,,,,,,,,
LR BEND,LONG RADIUS BEND,L.R. BEND,LR BND,L R BEND,L.R.B.,LONG RAD BEND,L-R BEND,LRB,LONG-RADIUS BEND,L/R BEND,,,,,,,,,,,,
NAN,NANOMETER,NM,NANO,NANO METER,N-METER,N.M.,N.A.N.,N-M,N/M,N METER,,,,,,,,,,,,
P TRAP,P-TRAP,P TRP,P.TRAP,PTRAP,P TYPE TRAP,P-TYPE TRAP,P STYLE TRAP,P-STYLE TRAP,P BEND,P-BEND,,,,,,,,,,,,
RIM,RING,R.I.M.,R-I-M,R/I/M,R.I.M,RING INSERT METALLIC,RING INSERT MET,RING-INSERT-MET,RING/INSERT/MET,RING.INSERT.MET,,,,,,,,,,,,
RUNNING TRAP,RUN TRAP,RUNNING TRP,RUN TRP,RTR,R TRAP,RUNTRAP,RUN-TRAP,RUNNING-TRAP,RUNNING-TRP,RUN-TRP,,,,,,,,,,,,
SCREWED VALVE,SCR VLV,SCRWD VLV,SCRW VLV,SCRD VLV,NPT VALVE,THD VALVE,THREADED VALVE,SCREWED-END VALVE,SCR. VALVE,THD. VALVE,,,,,,,,,,,,
SHORT RADIUS 45 DEGREE ELBOW,SR 45 ELBOW,SR 45 ELL,SR 45° ELBOW,SR 45° ELL,SHORT RAD 45 ELBOW,SHORT RAD 45 ELL,SR 45,S.R. 45 ELBOW,S.R. 45° ELL,SHORT R 45 ELL,,,,,,,,,,,,
SOIL,SOIL PIPE,SL PIPE,SOIL LINE,SL LINE,SOIL PIPING,SL PIPING,SOIL PIP,SL PIP,SOIL P,SL P,,,,,,,,,,,,
SOIL PIPE,SP,SOIL P,SL PIPE,SEWER PIPE,S PIPE,SL P,SOILP,S.P.,S-P,S/P,,,,,,,,,,,,
SOLID PLUG,SOL PLUG,SLD PLUG,SOLID PLG,SLD PLG,SOL PLG,S PLUG,SPLG,SOLID PL,S-PLUG,S/PLUG,,,,,,,,,,,,
TEST PLUG,TEST PLG,TST PLG,TST PLUG,TEST-PLG,TEST-PLUG,T-PLUG,T-PLG,T PLUG,T PLG,TESTING PLUG,,,,,,,,,,,,
VALVE BOX,VB,VLV BOX,V BOX,V-BOX,VBOX,VALVE BX,VLV BX,V.BOX,V/BOX,VALVE-BOX,,,,,,,,,,,,
SHOWER,SHWR,SHR,SHOWER HEAD,SHWR HEAD,SHOWER UNIT,SHWR UNIT,EMERGENCY SHOWER,EMRG SHWR,SAFETY SHOWER,SFTY SHWR,,,,,,,,,,,,
LA TRAP,LA STM TRAP,LEVER & ACTUATOR TRAP,LEVER ACTUATOR TRAP,L&A TRAP,L/A TRAP,LEVER ACTION TRAP,LVR ACTR TRAP,L.A. TRAP,L A TRAP,LA-TRAP,,,,,,,,,,,,
FAUCET,FAUCET,FAU,FAUCT,FCT,WATER TAP,TAP,SPIGOT,WATER VALVE,FAUCET VALVE,F.C.T,,,,,,,,,,,,
RIGID COUPLING,RGD CPLG,RGD COUPLING,RIGID CPLG,RGD CPLNG,RIGID CPLNG,RIG COUPLING,RIG CPLG,RGID COUPLING,RGID CPLG,RIGID CPL,,,,,,,,,,,,
STRUT CLAMP,STRUT CLP,STR CLP,STRUT CLMP,STR CLMP,CHANNEL CLAMP,CHNL CLAMP,CHNL CLP,STRT CLMP,S/CLAMP,S/CLP,,,,,,,,,,,,
TRAP ADAPTER,TRAP ADPTR,TRP ADPTR,TRP ADAPTER,TRAP ADAPT,TRP ADAPT,TRAP-ADPTR,TRAP-ADAPTER,TRP-ADPTR,TRP-ADAPTER,TRAP COUPLING,,,,,,,,,,,,
BULKHEAD,BLKHD,BH,BULKHEAD FITTING,BLK HD,B/H,BULK HD,B.H.,BLKHD FTG,BH FTG,BULKHEAD CONNECTOR,,,,,,,,,,,,
VAN STONE FLANGE,VAN STONE FLG,VANSTONE FLANGE,VANSTONE FLG,VS FLANGE,VS FLG,V.S. FLANGE,V.S. FLG,V/S FLANGE,V/S FLG,VSF,,,,,,,,,,,,
45 DEGREE BEND,45° BEND,45 DEG BEND,45 DEGREE BND,45° BND,45 DEG BND,BEND 45 DEGREE,BEND 45°,BEND 45 DEG,BND 45 DEG,BND 45°,,,,,,,,,,,,
BACKING RING,BACK RING,B/RING,B RING,B/R,B.R.,BKING RING,BK RING,BACKING RNG,BCK RING,BCKNG RNG,,,,,,,,,,,,
BACK-UP FLANGE,BUF,BACKUP FLANGE,BACK UP FLANGE,B/U FLANGE,B-U FLANGE,BACK-UP FLG,BACKUP FLG,B/U FLG,B-U FLG,BU FLANGE,,,,,,,,,,,,
BAS RIM AND GUIDE,BASE RIM AND GUIDE,BAS RIM & GUIDE,BASE RIM & GUIDE,BAS R&G,BASE R&G,BAS R & G,BASE R & G,BAS GUIDE & RIM,BASE GUIDE & RIM,BAS GDE & RIM,,,,,,,,,,,,
BASE RIM AND GUIDE,BASE RIM & GUIDE,GUIDE & BASE RIM,GUIDE AND BASE RIM,RIM AND GUIDE BASE,RIM & GUIDE BASE,B/R AND GUIDE,B/R & GUIDE,BASE R&G,BASE R & G,BR&G,,,,,,,,,,,,
BLIND UNION FLANGE,BLN UNION FLG,BLIND UN FLG,BU FLANGE,BU FLG,BLND UNION FLANGE,BLND UN FLG,BLIND UNION,BLN UN,B.U. FLANGE,B.U.F.,,,,,,,,,,,,
BUSHING FLANGE,BUSH FLG,BUSH FLANGE,BUSHING FLG,BSH FLG,BSH FLANGE,BSHG FLG,BSHG FLANGE,BG FLG,BG FLANGE,BUSH-FLG,,,,,,,,,,,,
CHAINWHEEL,CHAIN WHEEL,CHNWHL,CHN WHL,CH-WHL,CHAIN-WHEEL,CH WHEEL,CHAIN OPERATOR,CHN OPERATOR,CHAIN-OPERATOR,CH.WHL,,,,,,,,,,,,
GUIDE,GD,GUD,GUYD,GUID,GUIDE RAIL,GUIDE ROD,GUIDE PIN,GUIDE BAR,GUIDE BLOCK,GUIDE PLATE,,,,,,,,,,,,
MECHANICAL COVER KIT,MECH COVER KIT,MECH COV KIT,MCK,MECHANICAL CVR KIT,MECH CVR KIT,MECHANICAL COVER SET,MECH COVER SET,MECHANICAL CVR SET,MECH CVR SET,MECHANICAL KIT,,,,,,,,,,,,
MECHANICAL KIT,MECH KIT,MECH-KIT,MECHANICAL SET,MECH SET,MECH. KIT,MECH ASSEMBLY,MECHANICAL ASSEMBLY,M-KIT,MECHANICAL PKG,MECH PKG,,,,,,,,,,,,
MJ ADAPTER,MECHANICAL JOINT ADAPTER,MJ ADAPTOR,MECHANICAL JOINT ADAPTOR,MJ-ADAPTER,MJ-ADAPTOR,MECH JOINT ADAPTER,MECH JT ADAPTER,M.J. ADAPTER,M.J.A.,MJA,,,,,,,,,,,,
RIM AND GUIDE,R&G,RIM & GUIDE,R AND G,R + G,R-G,RIM/GUIDE,RIM + GUIDE,RIM-GUIDE,R+G,R/G,,,,,,,,,,,,
STUB END BACKUP FLANGE,STUB END BU FLG,STUB END B/U FLG,STUB END BACKUP FLG,STUB END B.U. FLANGE,SE BACKUP FLANGE,SE BU FLG,SE B/U FLG,SE BACKUP FLG,STUB END B-U FLG,SE B-U FLANGE,,,,,,,,,,,,
STUB END FLANGE,STUB FLG,STUB END FLG,STUB-END FLANGE,STUB FLANGE,SE FLANGE,SE FLG,STB END FLG,S.E. FLANGE,S.E. FLG,STUB-END FLG,,,,,,,,,,,,
FORGED STEEL GASKET,FGD STL GSK,FRGD STL GSK,FORGED STL GSKT,FGD STEEL GASKET,FORGED STL GSK,FRGD STEEL GSKT,FGD STL GSKT,FORGED STEEL GSK,FRGD STL GASKET,FORGED STL GASKET,,,,,,,,,,,,
FLANGE ADAPTER GASKET,FLG ADPTR GSK,FA GSK,FLANGE ADPTR GASKET,FLG ADAPTER GASKET,FL ADPTR GSK,FLNG ADPTR GSK,F.A. GASKET,FA GSKT,FLANGE ADPT GSK,F/A GASKET,,,,,,,,,,,,
GROOVED FLANGE ADAPTER,GRV FLG ADPT,GROOVE FLG ADAPTER,GRV FLANGE ADPTR,GROOVED FLG ADPT,GRV FLG ADP,GRVD FLG ADPTR,GRV-FLG-ADPT,GROOVE/FLG/ADPT,GRV.FLG.ADPT,GROOVED FLANGE ADP,,,,,,,,,,,,
GROOVED FLANGE ADAPTER GASKET,GROOVED FLG ADPTR GSKT,GRV FLG ADPTR GSKT,GRVD FLG ADPTR GSKT,GRV FLANGE ADAPTER GSK,GROOVED FLANGE ADPTR GSK,GRV FLG ADAPT GASKET,GRVD FLANGE ADAPT GSK,GROOVE FLG ADAPTER GSK,GRV FL ADAPTER GASKET,GROOVED FLANGE ADAPT SEAL,,,,,,,,,,,,
HANGER STRAP,HANG STRAP,HNGR STRAP,PIPE HANGER STRAP,HANGER STRP,HANG STRP,HNGR STRP,PIPE STRP,H STRAP,PIPE SUPPORT STRAP,SUPPORT STRAP,,,,,,,,,,,,
HEX HEAD CAP SCREW,HHCS,HEX HD CAP SCREW,HEX CAP SCREW,HH CAP SCREW,HEX HEAD SCREW,HEXHEAD CAP SCREW,HCS,H.H.C.S.,HEX HD CS,HEX HEAD C/S,,,,,,,,,,,,
455. HEX MACHINE BOLT,HEX MACHINE BOLT,HEX M BOLT,HEX MB,HMAB,HM BOLT,H.M.B.,MACHINE HEX BOLT,M HEX BOLT,455 HEX BOLT,455 HMB,,,,,,,,,,,,
LINK CHAIN,LNK CHN,LINK-CHAIN,LK CHAIN,L-CHAIN,L.CHAIN,LCHAIN,CHAIN LNK,CHAIN-LINK,CHAIN LINK,L/CHAIN,,,,,,,,,,,,
LIQUID LEAK DETECTOR,LLD,LEAK DETECTOR,LIQUID DETECTOR,LEAK TEST FLUID,LEAK TEST SOLUTION,LEAK CHECK FLUID,LEAK FINDING SOLUTION,LEAK DETECTION FLUID,LEAK LOCATOR,LEAK TESTING COMPOUND,,,,,,,,,,,,
T-GASKET,T GSK,T-GSK,TGSK,T GASKET,T-TYPE GASKET,T TYPE GSK,T.GSK,T/GSK,T/G,T.G,,,,,,,,,,,,
SHEET,SHT,SH,SHEE,METAL SHEET,FLAT SHEET,PLATE SHEET,STL SHEET,STEEL SHEET,SHEETMETAL,SH MTL,,,,,,,,,,,,
COVER KIT,CVR KIT,COVER SET,CVR SET,COVER ASSEMBLY,CVR ASSEMBLY,COVER ASSY,CVR ASSY,COVER PKG,CVR PKG,COVER PACKAGE,,,,,,,,,,,,
TUBE PLUG,TB PLG,TBPLG,T-PLG,T PLG,TUBE PLG,T/PLG,TUB PLG,T.PLG,TUBEPLUG,TUBE-PLG,,,,,,,,,,,,
45 WYE,45° WYE,45 DEG WYE,45° Y,45 DEG Y,WYE 45,WYE 45°,Y 45,Y 45°,45-Y,45Y,,,,,,,,,,,,
BF SADDLE,BUTTERFLY SADDLE,BUTTERFLY VLV SADDLE,BFV SADDLE,B/F SADDLE,B.F. SADDLE,BFLY SADDLE,B-F SADDLE,BTRFLY SADDLE,BTFLY SADDLE,B/FLY SADDLE,,,,,,,,,,,,
BLACK PIPE,BLK PIPE,BLK PP,BLACK PP,BLK PIP,BLACK PIP,B/P,BLK P,BLKP,BP,B PIPE,,,,,,,,,,,,
BRANCH FITTING SADDLE,BRANCH SADDLE,SADDLE BRANCH,BRANCH FTG SADDLE,BF SADDLE,BRANCH FITTING,SADDLE FITTING,BRANCH SADDLE FITTING,SADDLE BRANCH FITTING,B.F. SADDLE,BR FTG SADDLE,,,,,,,,,,,,
CORRUGATED,CORR,CORRUG,CORRG,COR,CRGTD,CRRUG,CRRGTD,CORRUGATE,CRGT,CRG,,,,,,,,,,,,
FAB TEE,FABRICATED TEE,FAB T,FABR TEE,FABRICATED T,FAB. TEE,FABR. TEE,FAB'D TEE,FABRICATED T-PIECE,FAB T-PIECE,FABR T,,,,,,,,,,,,
FABRICATED FLANGE,FAB FLANGE,FAB FLG,FABR FLANGE,FABR FLG,FABRICATED FLG,FAB. FLANGE,FAB. FLG,FABR. FLANGE,FABR. FLG,F/F,,,,,,,,,,,,
HDPE,HIGH DENSITY POLYETHYLENE,HIGH-DENSITY POLYETHYLENE,HDPE PIPE,HIGH DENSITY PE,HD POLYETHYLENE,H.D.P.E.,HIGH-DENSITY PE,HD PE,HDPE LINE,HIGH DENSITY PE PIPE,,,,,,,,,,,,
IRON PIPE SIZE PIPE,IPS PIPE,IPS,IRON PIPE SIZE,I.P.S. PIPE,I.P.S.,IRON PIPE,IP SIZE PIPE,IP SIZE,IRON PS PIPE,I P S,,,,,,,,,,,,
PERFORATED,PERF,PERFD,PERF'D,PERFORATD,PRF,PRFRTD,PER,PRFR,PERFRT,P'FTD,,,,,,,,,,,,
PLAIN SOLID PIPE,PSP,PLN SLD PIPE,PLAIN PIPE,SOLID PIPE,P/S PIPE,PLN PIPE,SLD PIPE,P.S.P.,P-S-P,P/S/P,,,,,,,,,,,,
REDUCER TEE,RED TEE,REDUCING TEE,TEE REDUCER,RDCR TEE,REDUC TEE,RED T,REDUCER T,REDUCING T,RDCR T,REDUC T,,,,,,,,,,,,
SADDLE ROUND BASE,SADDLE RD BASE,RD BASE SADDLE,ROUND BASE SADDLE,ROUND SADDLE BASE,SRB,RD SADDLE BASE,SADDLE BASE RD,SADDLE BASE ROUND,RND BASE SADDLE,SADDLE RND BASE,,,,,,,,,,,,
SADDLE TEE,SADDLE T,SDL TEE,SDL T,BRANCH SADDLE,WELDOLET,TEE SADDLE,SADDLE BRANCH,PIPE SADDLE,SADDLE FITTING,BRANCH CONNECTION,,,,,,,,,,,,
SOLID,SLD,SOL,SOLID STATE,S/L/D,S.L.D.,SLD ST,SOLST,S-L-D,S/L,S.L.,,,,,,,,,,,,
SOLID PIPE,SOL PIPE,SOLID PIP,S PIPE,SLD PIPE,SOLID PP,SOL PP,SLD PP,S PP,SOLID P,SLD P,,,,,,,,,,,,
SWAGED REDUCER,SWGD RED,SWG RED,SWAGED RED,SWGD REDUCER,SWG REDUCER,SWAGE REDUCER,SWGD RDR,SWAGED RDR,SWG RDR,SWAGE RDR,,,,,,,,,,,,
THREADED FITTING,THD FTG,THRD FTG,THD FITTING,THRD FITTING,SCREWED FITTING,SCR FTG,SCRD FTG,NPT FITTING,NPT FTG,THREADED FTG,,,,,,,,,,,,
WELDING ROD,WLD ROD,WELD ROD,W ROD,W/ROD,WLDG ROD,WELDING ELECTRODE,WLD ELECTRODE,WELD ELECTRODE,WELDING CONSUMABLE,WELD WIRE,,,,,,,,,,,,
ROD,RD,THREADED ROD,THD ROD,TH RD,T ROD,CONNECTING ROD,CONN ROD,ALL THREAD ROD,ALL-THREAD,ATR,,,,,,,,,,,,
ACCESSORY KIT,ACC KIT,ACCY KIT,ACCESS KIT,ACCESSORIES KIT,ACC SET,ACCY SET,ACCESS SET,ACCESSORY SET,ACC PACK,ACCY PACK,,,,,,,,,,,,
BUTTERFLY SPACER,BFV SPACER,BFLY SPACER,BTF SPACER,BF SPACER,BUTTERFLY SPC,BFV SPC,BFLY SPC,BTF SPC,BF SPC,BTFLY SPACER,,,,,,,,,,,,
BUTTERFLY VALVE SPACER,BFV SPACER,BFLY VLV SPACER,BTF VLV SPACER,BTRFLY VLV SPACER,BV SPACER,BTFLY SPACER,BTF SPACER,BFV-SPACER,BUTTERFLY SPACER,BFLY SPACER,,,,,,,,,,,,
CHAMFER,CHFR,CHMFR,CHAMP,CHF,CHAM,CHAMP EDGE,CHAMFERED,CHAMFERED EDGE,CHAMFER EDGE,CH,,,,,,,,,,,,
CLEANOUT WITH RAISED HEAD PLUG,C.O. W/ RAISED HEAD PLUG,CLEANOUT W/RAISED HEAD,CO W/RAISED HEAD PLUG,CLEANOUT RAISED HEAD,C.O. RAISED HEAD,RAISED HEAD CLEANOUT,RH CLEANOUT,RAISED HEAD CO,RH CO,CO RH PLUG,,,,,,,,,,,,
FABRICATED BRANCH SADDLE,FAB BRANCH SADDLE,FABRICATED BR SADDLE,FAB BR SADDLE,BRANCH SADDLE FAB,BR SADDLE FAB,FBR SADDLE,FAB SADDLE,BRANCH SDL FAB,BR SDL FAB,FABR BR SDL,,,,,,,,,,,,
GROOVED ADAPTER,GRV ADPTR,GROOVE ADPTR,GRV ADAPTER,GRVD ADPTR,GRVD ADAPTER,GRVED ADPTR,GRV-ADPTR,GROOVE-ADPTR,GRVED-ADPTR,GRVD-ADPTR,,,,,,,,,,,,
MECHANICAL TEE,MECH TEE,MECH T,MECHANICAL T,M-TEE,M TEE,M/TEE,M.TEE,MECH-TEE,M-T,M/T,,,,,,,,,,,,
QUICK CONNECT ADAPTER,QC ADAPTER,QUICK CONN ADPTR,Q/C ADAPTER,QUICK CONNECT ADPTR,QC ADPTR,Q-C ADAPTER,QUICK-CONNECT ADAPTER,Q.C. ADAPTER,QUICK CONN ADAPTER,Q/C ADPTR,,,,,,,,,,,,
TAP ON PIPE TEE,TAP ON TEE,TAPPED TEE,TEE WITH TAP,PIPE TEE W/TAP,TAPPED PIPE TEE,BRANCH TAP TEE,TEE WITH BRANCH TAP,PIPE TEE WITH TAP,BRANCH TAPPED TEE,TAPPING TEE,,,,,,,,,,,,
TRANSITION PIPE,TRANS PIPE,TRANSITION PP,TRANS PP,TRANS P,TRAN PIPE,TRANSITIONAL PIPE,TRANS-PIPE,TRANS. PIPE,TRAN-PIPE,TRNS PIPE,,,,,,,,,,,,
BOSS CLAMP,BOSS CLP,BS CLMP,BS CLP,BSS CLMP,BOSS-CLMP,BSS-CLP,BSS/CLP,BOSS/CLMP,B/CLMP,B.CLMP,,,,,,,,,,,,
EXTENSION PIECE,EXT PIECE,EXTENSION PC,EXT PC,EXT PCS,EXTENSION PCS,EXTENDER,EXTN PIECE,EXTN PC,EXT PCE,EXTENSION PCE,,,,,,,,,,,,
EXTERNAL PLUG,EXT PLUG,EX PLUG,EXTERNAL PLG,EXT PLG,EX PLG,EXTERNL PLG,EXTNL PLUG,EXTNL PLG,E PLUG,E PLG,,,,,,,,,,,,
ONE HOLE CLAMP,1-HOLE CLAMP,1 HOLE CLAMP,SINGLE HOLE CLAMP,1H CLAMP,1-H CLAMP,ONE-HOLE CLAMP,1HOLE CLAMP,1 H CLAMP,CLAMP 1H,CLAMP 1-HOLE,,,,,,,,,,,,
PIPE RING,PIPE RNG,P RING,P RNG,PIPE RETAINING RING,PIPE RETENTION RING,PIPE R/R,P R/R,PIPING RING,P.RING,P.RNG,,,,,,,,,,,,
SOCKET,SKT,SOCKT,SOC,S,SCKT,SKT FTG,SOCKET FITTING,SOCKET FTG,SOC FTG,S FTG,,,,,,,,,,,,
SPLIT PIPE RING,SPR,SPLIT RING,SPLIT PIPE CLAMP,SPLIT RING CLAMP,PIPE SPLIT RING,S.P.R.,SPLIT-PIPE RING,SPLIT-RING,SPLIT P RING,SP RING,,,,,,,,,,,,
SPLIT RING,SPL RNG,SP RNG,SPLIT RNG,SPL RING,SP RING,S/R,S.R.,SPLT RNG,SPLT RING,S RING,,,,,,,,,,,,
SPLIT PIPE,SPLIT PIPE FITTING,SPL PIPE,SPLIT PP,SP PIPE,SPLIT PIP,SPL PIP,SPLIT-PIPE,SPLIT/PIPE,S/PIPE,SP/PIPE,,,,,,,,,,,,
SWIVEL SPLIT RING,SWVL SPLT RNG,SWVL SPLIT RNG,SWV SPLT RNG,SWVL S/R,SWVL SR,SWIVEL SR,SWIVEL S/R,SWV SR,SWV S/R,SWVL SPLIT RING,,,,,,,,,,,,
GAS PIPE,GP,G PIPE,GAS PIP,G.P.,GAS LINE,GASLINE,G-PIPE,G/P,GAS P,G LINE,,,,,,,,,,,,
3-WAY SOLENOID,3WAY SOLENOID,THREE WAY SOLENOID,3-WAY SOL,3WAY SOL,THREE WAY SOL,3 WAY SOLENOID,3W SOLENOID,3W SOL,3-WAY SOLENOID VALVE,3WAY SOLENOID VLV,,,,,,,,,,,,
