Unnamed: 0,Description,category,type,primary_size,reducing_size,length,material_name,material_specification,material_grade,pressure_class,primary_schedule,reducing_schedule,manufacturing_process,end_finish,end_connections,trim,miscellaneous,confidence
177,12 X 2 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,12,2    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
178,12 X 4 IPS DR17 PC125  Tee Fabricated,fitting,tee,12,4    ,,,,,125,DR17,,fabricated,,,,iron pipe size,0.8
179,12 X 6 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,12,6    ,,,,,125,SDR17,,FABRICATED,,,,IPS,0.8
180,12 X 8 IPS DR17 PC125  Tee Fabricated,fitting,tee,12,8    ,,,,,125,DR17,,fabricated,,,,iron pipe size,0.8
181,14 X 10 IPS SDR17 PC125 Tee Fabricated,fitting,tee,14,10    ,,,,,125,SDR17,,fabricated,,,,iron pipe size,0.8
182,14 X 8 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,14,8    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
183,16 X 12 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,16,12    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
184,16 X 4 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,16,4    ,,,,,125,SDR17,,FABRICATED,,,,IPS,0.85
185,16 X 6 IPS SDR17 PC125 Tee Fabricated,fitting,tee,16,6    ,,,,,125,SDR17,,fabricated,,,,iron pipe size,0.85
186,16 X 8 IPS SDR17 PC125 Tee Fabricated,fitting,tee,16,8    ,,,,,125,SDR17,,fabricated,,,,IPS,0.8
187,18 X 10 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,18,10    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
188,18 X 12 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,18,12    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.85
189,18 X 4 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,18,4    ,,,,,125,SDR17,,FABRICATED,,,,IPS,0.8
190,20 X 12 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,20,12    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
191,20 X 8 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,20,8    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
192,24 x 12 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,24,12    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
193,24 X 8 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,24,8    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
194,4 X 3 IPS SDR17 PC125 Tee Fabricated,fitting,tee,4,3    ,,,,,125,SDR17,,fabricated,,,,iron pipe size,0.8
195,6 X 3 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,6,3    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
196,6 X 4 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,6,4    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.85
197,8 X 2 IPS SDR17 PC125 Tee Fabricated,fitting,tee,8,2    ,,,,,125,SDR17,,fabricated,,,,IPS,0.8
198,8 X 3 IPS SDR17 PC125 Tee Fabricated,fitting,TEE,8,3    ,,,,,125,SDR17,,FABRICATED,,,,IRON PIPE SIZE,0.8
199,8 X 4 IPS SDR17 PC125 Tee Fabricated,fitting,tee,8,4    ,,,,,125,SDR17,,fabricated,,,,iron pipe size,0.85
200,16  SDR17 125 PSI Stainless Steel  BU RNG,gasket,backup_ring,16,,,stainless steel,,,125,sdr17,,,,,,,0.85
201,36 SDR17  125 PSI Stainless Steel BU RNG,gasket,backup_ring,36,,,stainless_steel,,,125,SDR17,,,,,,,0.85
202,10 IPS SDR9 PC126 HDPE Wye Fabricated,fitting,WYE,10,,,HDPE,,,126,SDR9,,FABRICATED,,,,IRON PIPE SIZE,0.85
203,12 IPS SDR9 PC126 HDPE Wye Fabricated,fitting,WYE,12,,,HDPE,,,126,SDR9,,FABRICATED,,,,IRON PIPE SIZE,0.85
204,16 IPS SDR9 PC126 HDPE Wye Fabricated,fitting,WYE,16,,,HDPE,,,126,SDR9,,FABRICATED,,,,IRON PIPE SIZE,0.85
205,6 IPS SDR9 PC126 HDPE Wye Fabricated,fitting,WYE,6,,,HDPE,,,126,SDR9,,FABRICATED,,,,IRON PIPE SIZE,0.85
206,8 IPS SDR9 PC126 HDPE Wye Fabricated,fitting,WYE,8,,,HDPE,,,126,SDR9,,FABRICATED,,,,IRON PIPE SIZE,0.9
207,18 SDR11 Fabricated HDPE 22-1/2 Elbow CL128,fitting,22-1/2 DEGREE ELBOW,18,,,HDPE,,,128,SDR11,,FABRICATED,,,,,0.85
208,12 IPS SDR11 PC128 11-1/4 Fabricated 2 Piece,pipe,pipe,12,,11.25,iron,,,128,SDR11,,fabricated,,,,2-piece,0.85
209,16 IPS SDR11 PC128 11-1/4 Fabricated 2 Piece,pipe,pipe,16,,,iron,,,128,SDR11,,fabricated,,,,2-piece,0.8
210,2 IPS SDR11 PC128 11-1/4 Fabricated 2 Piece,pipe,pipe,2,,11.25,iron,,,128,SDR11,,fabricated,,,,2-piece,0.85
211,BLANKX8 IPS SDR11 PC128 Saddle Fabricated,fitting,SADDLE,8,,,IRON,,,128,SDR11,,FABRICATED,,,,,0.8
212,36 X 30 IPS SDR11 PC128 Fabricated CONC Reducer,fitting,CONCENTRIC REDUCER,36,30    ,,,,,128,SDR11,,FABRICATED,,,,IRON PIPE SIZE,0.85
213,12 IPS SDR11 PC128 22-1/2 Fabricated,pipe,pipe,12,,22.5,,,,128,SDR11,,FABRICATED,,,,IRON PIPE SIZE,0.8
214,24 IPS SDR11 PC128 11-1/4 Fabricated 2 Piece,pipe,pipe,24,,,,,,128,SDR11,,fabricated,,,,2-piece,0.8
215,3 IPS SDR11 PC128 22-1/2 Fabricated,pipe,pipe,3,,22.5,,,,128,SDR11,,fabricated,,,,,0.8
216,4 IPS SDR11 PC128 22-1/2 Fabricated,pipe,pipe,4,,,,,,128,SDR11,,FABRICATED,,,,IRON PIPE SIZE,0.8
217,6 IPS SDR11 PC128 22-1/2 Fabricated,pipe,pipe,6,,22.5,,,,128,SDR11,,fabricated,,,,iron pipe size,0.8
218,8 IPS SDR11 PC128 22-1/2 Fabricated,pipe,pipe,8,,22.5,,,,128,SDR11,,fabricated,,,,iron pipe size,0.8
219,Lead Law Compliant BFV LUG 3 141 DI/ALUM BRZ/,valve,BUTTERFLY,3,,,DUCTILE IRON,,,141,,,,,LUG,ALUMINUM BRONZE,LEAD LAW COMPLIANT,0.85
220,Lead Law Compliant BFV LUG 8 141 DI/ALUM BRZ/,valve,BUTTERFLY,8,,,DUCTILE IRON,,,141,,,,,LUG,ALUMINUM BRONZE,LEAD LAW COMPLIANT,0.85
221,3 150# 304 Spiral For Carb Gasket,gasket,spiral_wound,3,,,304,,,150,,,,,,,FOR CARB,0.8
222,6 150# 304 IR GRAPH SPRL Gasket,gasket,spiral_wound,6,,,304,,,150,,,,,,,IR GRAPH,0.9
223,12 150# 316 Spiral Gasket With Graph,gasket,spiral,12,,,316,,,150,,,,,,,with graph,0.95
224,1/2 150# 316 IR Graph Spiral Gasket,gasket,spiral_wound,1/2,,,316,,,150,,,,,,,inner ring graphite,0.95
225,WRI 16 150 304 FG CS OR 304 IR ASME B16.20,gasket,spiral_wound,16,,,304 STAINLESS STEEL,ASME B16.20,,150,,,,,,,FG CARBON STEEL OR 304 IR,0.9
226,WRI 18 150 304 FG CS OR 304 IR ASME B16.20,gasket,spiral_wound,18,,,304 STAINLESS STEEL,ASME B16.20,,150,,,,,,,FG CARBON STEEL OR 304 IR,0.9
227,6 150 WRI 316 FG 316 IR Gasket *Z,gasket,ring,6,,,316 STAINLESS STEEL,,,150,,,forged,,,,IR,0.85
228,6 Aluminum Adapter X 150# ASA Flange DRILL,fitting,adapter,6,,,aluminum,,,150,,,,,flange,,ASA flange drill,0.8
229,*ACCORD Aluminum Bronze Series 150 Spring Return Actuator,valve,ACTUATOR,,,,ALUMINUM BRONZE,,,150,,,,,,SPRING RETURN,ACCORD,0.7
230,Not For Potable Use 1 Bronze 150# Threaded PTFE Angle Valve,valve,angle,1,,,bronze,,,150,,,,,thd,ptfe,not for potable use,0.9
231,1/4 Bronze 150# Threaded Check,valve,check,1/4,,,bronze,,,150,,,,,THD,,,0.9
232,Not For Potable Use 1/2 Bronze 150# Threaded PTFE Check,valve,check,1/2,,,bronze,,,150,,,,ptfe,thd,,not for potable use,0.9
233,Not For Potable Use 1-1/2 Bronze 150# Threaded PTFE Check,valve,check,1 1/2,,,bronze,,,150,,,,,THD,PTFE,NOT FOR POTABLE USE,0.9
234,Not For Potable Use 3/4 Bronze 150# Threaded Check,valve,check,3/4,,,bronze,,,150,,,,,THD,,not for potable use,0.9
235,1 Bronze 150# Threaded Rising Stem GATE Valve,valve,gate,1,,,bronze,,,150,,,,,thd,rising stem,,0.9
236,Not For Potable Use 1 Bronze 150# Threaded Rising Stem GATE Valve,valve,gate,1,,,bronze,,,150,,,,,THD,rising stem,not for potable use,0.9
237,Not For Potable Use 1 Bronze 150# Threaded Rising Stem GATE Valve,valve,gate,1,,,bronze,,,150,,,,,THD,rising stem,not for potable use,0.9
238,Not For Potable Use 1/2 Bronze 150# Threaded Rising Stem Union Bonnet GATE Valve,valve,gate,1/2,,,bronze,,,150,,,,,THD,rising stem union bonnet,not for potable use,0.95
239,Not For Potable Use 1/4 Bronze 150# Threaded Rising Stem GATE Valve,valve,gate,1/4,,,bronze,,,150,,,,,THD,rising stem,not for potable use,0.95
240,Not For Potable Use 1/4 Bronze 150# Threaded Rising Stem GATE Valve,valve,gate,1/4,,,bronze,,,150,,,,,THD,rising stem,not for potable use,0.9
241,Not For Potable Use 1-1/2 Bronze 150# Threaded Rising Stem Union Bonnet GATE,valve,gate,1 1/2,,,bronze,,,150,,,,,THD,rising stem union bonnet,not for potable use,0.9
242,Not For Potable Use 1-1/4 Bronze 150# Threaded Rising Stem GATE,valve,gate,1 1/4,,,bronze,,,150,,,,,THD,rising stem,not for potable use,0.9
243,Not For Potable Use 1-1/4 Bronze 150# Threaded Rising Stem GATE Valve,valve,gate,1 1/4,,,bronze,,,150,,,,,THD,rising stem,not for potable use,0.95
244,Not For Potable Use 2-1/2 Bronze 150# Threaded Rising Stem Union Bonnet GATE,valve,gate,2 1/2,,,bronze,,,150,,,,,thd,rising stem union bonnet,not for potable use,0.9
245,Not For Potable Use 3 150# Bronze Flanged BB/OSY GATE,valve,gate,3,,,bronze,,,150,,,,,flanged,bb/osy,not for potable use,0.9
246,Not For Potable Use 3 Bronze 150# Threaded Rising Stem GATE Valve,valve,gate,3,,,bronze,,,150,,,,,THD,rising stem,not for potable use,0.9
247,Not For Potable Use 3 Bronze 150# Threaded Rising Stem Union Bonnet GATE Valve,valve,gate,3,,,bronze,,,150,,,,,THD,union bonnet,rising stem not for potable use,0.9
248,Not For Potable Use 3/4 Bronze 150# Threaded Rising Stem Thread Bonnet GATE Valve,valve,gate,3/4,,,bronze,,,150,,,,,THD,rising stem thread bonnet,not for potable use,0.95
249,Not For Potable Use 3/8 Bronze 150# Threaded Rising Stem GATE,valve,gate,3/8,,,bronze,,,150,,,,,THD,rising stem,not for potable use,0.9
250,Not For Potable Use 3/8 Bronze 150# Threaded Rising Stem Union Bonnet GATE Valve,valve,gate,3/8,,,bronze,,,150,,,,,THD,rising stem union bonnet,not for potable use,0.95
251,Not For Potable Use 1-1/2 BRZ 150# THRD UB TFE GLB,valve,globe,1 1/2,,,bronze,,,150,,,,,THD,tfe,ub not for potable use,0.9
252,Not For Potable Use 2 Bronze 150# Threaded PTFE GLOBE,valve,globe,2,,,bronze,,,150,,,,,THD,PTFE,NOT FOR POTABLE USE,0.9
253,Not For Potable Use 2 BRZ 150# THRD UB TFE GLB,valve,globe,2,,,bronze,,,150,,,,,THD,TFE,UB NOT FOR POTABLE USE,0.9
254,Not For Potable Use 3/4 Bronze 150# Threaded PTFE GLOBE,valve,globe,3/4,,,bronze,,,150,,,,,THD,PTFE,NOT FOR POTABLE USE,0.9
255,Not For Potable Use 3/4 BRZ 150# THRD UB TFE GLB,valve,globe,3/4,,,bronze,,,150,,,,,THD,TFE,UB NOT FOR POTABLE USE,0.9
256,Not For Potable Use 3/4 Bronze 150# Thread 20 Mesh Wye,fitting,WYE,3/4,,,BRONZE,,,150,,,,,THD,20 MESH,NOT FOR POTABLE USE,0.85
257,Lead Law Compliant 1-1/4 Bronze 150# Thread Mesh Wye Strainer,valve,Y-STRAINER,1 1/4,,,BRONZE,,,150,,,,,THD,MESH,LEAD LAW COMPLIANT,0.9
258,1 PTFE 45 Elbow 150# CS Ductile Iron *X,fitting,45 DEGREE ELBOW,1,,,CARBON STEEL,,,150,,,,PTFE,,,DUCTILE IRON,0.8
259,1-1/2 PTFE 45 Elbow 150# CS Ductile Iron *X,fitting,45 DEGREE ELBOW,1 1/2,,,CARBON STEEL,,,150,,,,PTFE,,,DUCTILE IRON,0.8
260,12 PP 45 ELL 150# CS,fitting,45 DEGREE ELBOW,12,,,CARBON STEEL,,,150,PP,,,,,,,0.8
261,2 ATL-PTFE 45 ELL 150# CS,fitting,45 DEGREE ELBOW,2,,,CARBON STEEL,,,150,,,,,,,ATL-PTFE,0.8
262,10 PP 90 ELL 150# CS,fitting,90 ELBOW,10,,,CARBON STEEL,,,150,,,,,,,,0.8
263,12 PP 90 ELL 150# CS,fitting,90 ELBOW,12,,,CARBON STEEL,,,150,PP,,,,,,,0.8
264,3 ATL-PTFE 90 ELL 150# CS,fitting,90 ELBOW,3,,,CARBON STEEL,,,150,,,,,,,ATL-PTFE,0.8
265,4 ATL-PTFE 90 ELL 150# CS,fitting,90 ELBOW,4,,,CARBON STEEL,,,150,,,,,,,ATL-PTFE,0.8
266,8X1 ATL PTFE INS TEE 150# CS,fitting,ATL TEE,8,1    ,,CARBON STEEL,,,150,,,,,,,PTFE INS,0.8
267,*0317 4 CS CS 150# NACE FS FLG BV L,valve,ball,4,,,carbon steel,,,150,,,,full port,flanged,carbon steel,lever operated nace,0.9
268,*1216 8 CS CS 150# NACE FS FLG BV G,valve,ball,8,,,carbon steel,,,150,,,,,flanged,carbon steel,nace gear operator,0.9
269,1 CS 150# FLG FP TG BV,valve,ball,1,,,carbon steel,,,150,,,,full port,flanged,stainless steel,xtreme seats tg b7,0.9
270,1 CS 150# FLG SP FS BV,valve,ball,1,,,carbon steel,,,150,,,,,flanged,reduced port,FS,0.85
271,1 CS 316 Stainless Steel 150# Flanged SP BV,valve,ball,1,,,carbon steel,,,150,,,,reduced port,flanged,316 stainless steel,,0.9
272,1 CS 316 Stainless Steel 150# Flanged SP BV TG,valve,ball,1,,,carbon steel,,,150,,,,,flanged,316 stainless steel,reduced port,0.85
273,1 CS Stainless Steel 150# Flanged Full Port BV,valve,ball,1,,,carbon steel,,,150,,,,full port,flanged,stainless steel,,0.8
274,1/2 CS 150# FLG FP BV TG,valve,ball,1/2,,,carbon steel,,,150,,,,full port,flanged,stainless steel,fire safe,0.9
275,1/2 CS 316 Stainless Steel 150# Flanged SP BV TG,valve,ball,1/2,,,carbon steel,,,150,,,,,flanged,316 stainless steel,reduced port,0.8
276,1/2 CS SS 150# 2PC FP BV,valve,ball,1/2,,,carbon steel,,,150,,,,,,stainless steel,2-piece full port,0.85
277,1/2 CS SS 150# FLG FK BV FS LL,valve,ball,1/2,,,carbon steel,,,150,,,,,flanged,stainless steel,FK FS locking lever,0.9
278,1/2 CS SS 150# FLG NACE BV *Z,valve,ball,1/2,,,carbon steel,,,150,,,,full port,flanged,stainless steel,NACE XT FS,0.9
279,1/2 CS Stainless Steel 150# Flanged Full Port BV GR,valve,ball,1/2,,,carbon steel,,,150,,,,,flanged,stainless steel,full port,0.8
280,1-1/2 CS 150# FLG FP BV *Z,valve,ball,1 1/2,,,carbon steel,,,150,,,,,flanged,stainless steel,full port xtreme seats,0.9
281,1-1/2 CS 150# FLG FP BV TFM,valve,ball,1 1/2,,,carbon steel,,,150,,,,,flanged,stainless steel,full port ptfe,0.9
282,1-1/2 CS Stainless Steel 150# Flanged Full Port BV,valve,ball,1 1/2,,,carbon steel,,,150,,,,full port,flanged,stainless steel,,0.9
283,1-1/2 CS Stainless Steel 150# Flanged SP BV,valve,ball,1 1/2,,,carbon steel,,,150,,,,reduced port,flanged,stainless steel,,0.85
284,1-1/2 CS Stainless Steel Forged Steel 150# Flanged 1 Piece BV *Z,valve,ball,1 1/2,,,carbon steel,,,150,,,forged,,flanged,stainless steel,1-piece,0.85
285,2 CS 150# Flanged Full Port BV,valve,ball,2,,,carbon steel,,,150,,,,full port,flanged,,,0.85
286,2 CS 150# FLG RP BV,valve,ball,2,,,carbon steel,,,150,,,,reduced port,flanged,,,0.85
287,2 CS 150# RF Reduced Port BV NFS,valve,ball,2,,,carbon steel,,,150,,,,rf,,reduced port,nfs,0.8
288,2 CS 316 SS 150# FLG SP BV TG,valve,ball,2,,,carbon steel,,,150,,,,reduced port,flanged,316 stainless steel,tg,0.9
289,2 CS 316 Stainless Steel 150# Flanged Full Port BV,valve,ball,2,,,carbon steel,,,150,,,,full port,flanged,316 stainless steel,,0.9
290,2 CS 316 Stainless Steel 150# Flanged SP BV,valve,ball,2,,,carbon steel,,,150,,,,reduced port,flanged,316 stainless steel,,0.9
291,2 CS CS 150# Flanged SP 310 Forged Steel BV Left Hand,valve,ball,2,,,carbon steel,a105,,150,,,forged,,flanged,carbon steel,reduced port locking handle,0.9
292,2 CS SS 150# FLG 2PC FP FS BV,valve,ball,2,,,carbon steel,,,150,,,,,flanged,stainless steel,2-piece full port fs,0.85
293,2 CS SS TFM 150# FLG 1PC RP BV,valve,ball,2,,,carbon steel,,,150,,,,reduced port,flanged,stainless steel,1-piece tfm,0.85
294,2 CS SS TFM 150# FLG 2PC FP BV,valve,ball,2,,,carbon steel,,,150,,,,,flanged,stainless steel,2-piece full port tfm,0.85
295,2 CS SS TFM 150# FLG 2PC FP BV,valve,ball,2,,,carbon steel,,,150,,,,,flanged,stainless steel,2-piece full port tfm,0.9
296,2 CS Stainless Steel 150# Flanged Full Port RTFE BV F15,valve,ball,2,,,carbon steel,,,150,,,,full port,flanged,rtfe,f15,0.85
297,2 CS Stainless Steel 150# Flanged SP BV GR Firesafe,valve,ball,2,,,carbon steel,,,150,,,,reduced port,flanged,stainless steel,firesafe,0.85
298,2 CS Stainless Steel 150# Flanged Union Bonnet Reduced Port BV,valve,ball,2,,,carbon steel,,,150,,,,,flanged,stainless steel,union bonnet reduced port,0.85
299,2 CS2 S2 150# Flanged Full Port 310 NACE BV Left Hand,valve,ball,2,,,carbon steel,,,150,,,,flanged,,310,full port nace locking handle,0.9
300,2-1/2 CS SS TFM 150# FLG 2PC FP BV,valve,ball,2 1/2,,,carbon steel,,,150,,,,,flanged,stainless steel/tfm,2-piece full port,0.9
301,3 150# RF 2PC FP BV CS SS LO,valve,ball,3,,,carbon steel,,,150,,,,rf,,stainless steel,2-piece full port lever operator,0.9
302,3 150# RF 2PC RP BV CS SS LO,valve,ball,3,,,carbon steel,,,150,,,,rf,,stainless steel,2-piece reduced port lever operator,0.8
303,3 CS 150# Flanged BV With Locking Lever Handle,valve,ball,3,,,carbon steel,,,150,,,,,flanged,locking lever handle,,0.85
304,3 CS 150# Flanged SP BV,valve,ball,3,,,carbon steel,,,150,,,,,flanged,reduced port,,0.9
305,3 CS CS 150# Flanged Full Port 310 Forged Steel BV Left Hand,valve,ball,3,,,carbon steel,,,150,,,forged,,flanged,carbon steel,full port locking handle,0.9
306,3 CS Stainless Steel 150# Flanged Full Port BV,valve,ball,3,,,carbon steel,,,150,,,,,flanged,stainless steel,full port,0.9
307,3 CS Stainless Steel 150# Flanged Full Port RTFE BV F15,valve,ball,3,,,carbon steel,,,150,,,,,flanged,rtfe,full port,0.85
308,3 CS Stainless Steel 150# Flanged SP BV GR Firesafe,valve,ball,3,,,carbon steel,,,150,,,,,flanged,stainless steel,reduced port firesafe,0.85
309,3/4 CS 150# FLG FP BV,valve,ball,3/4,,,carbon steel,,,150,,,,,flanged,stainless steel,full port xtreme seats locking lever,0.9
310,3/4 CS SS 150# FLG 2PC FP FS BV,valve,ball,3/4,,,carbon steel,,,150,,,,,flanged,stainless steel,2-piece full port fs,0.9
311,3/4 CS Stainless Steel 150# Flanged Union Bonnet Reduced Port BV,valve,ball,3/4,,,carbon steel,,,150,,,,,flanged,stainless steel,union bonnet reduced port,0.85
312,4 150# RF 2PC FP BV CS CS LO,valve,ball,4,,,carbon steel,,,150,,,,rf,,carbon steel,2-piece full port lever operator,0.9
313,4 150# RF 2PC FP BV CS SS LO,valve,ball,4,,,carbon steel,,,150,,,,rf,,stainless steel,2-piece full port lever operator,0.9
314,4 CS 150# Flanged BV With Locking Lever Handle,valve,ball,4,,,carbon steel,,,150,,,,,flanged,locking lever handle,,0.9
315,4 CS 150# WCB RF Full Port 3 Piece BV,valve,ball,4,,,carbon steel,WCB,,150,,,,raised face,,full port,3-piece,0.9
316,4 CS 316 Stainless Steel 150# Flanged Full Port BV,valve,ball,4,,,carbon steel,,,150,,,,full port,flanged,316 stainless steel,,0.9
317,4 CS 316 Stainless Steel 150# Flanged SP BV,valve,ball,4,,,carbon steel,,,150,,,,reduced port,flanged,316 stainless steel,,0.9
318,4 CS CS 150# Flanged Full Port 310 Forged Steel BV Left Hand,valve,ball,4,,,carbon steel,a105,,150,,,forged,full port,flanged,carbon steel,locking handle,0.9
319,4 CS CS 150# Flanged SP 310 Forged Steel BV Left Hand,valve,ball,4,,,carbon steel,,,150,,,forged,,flanged,carbon steel,reduced port locking handle,0.9
320,4 CS SS 150# FLG FK BV FS LL,valve,ball,4,,,carbon steel,,,150,,,,,flanged,stainless steel,locking lever fk,0.85
321,4 CS SS 150# RF FLG LEV FP BV NACE,valve,ball,4,,,carbon steel,,,150,,,,rf,flanged,stainless steel,full port lever nace,0.9
322,4 CS SS TFM 150# FLG 1PC RP BV,valve,ball,4,,,carbon steel,,,150,,,,,flanged,tfm,1-piece reduced port,0.85
323,4 CS SS TFM 150# FLG 1PC RP BV,valve,ball,4,,,carbon steel,,,150,,,,reduced port,flanged,tfm,1-piece,0.85
324,4 CS SS TFM 150# FLG 2PC FP BV,valve,ball,4,,,carbon steel,,,150,,,,,flanged,TFM,2-piece full port,0.9
325,4 CS SS TFM 150# FLG 2PC FP BV,valve,ball,4,,,carbon steel,,,150,,,,,flanged,TFM,2-piece full port,0.9
326,4 CS Stainless Steel 150# Flanged Full Port BV,valve,ball,4,,,carbon steel,,,150,,,,full port,flanged,stainless steel,,0.9
327,4 CS Stainless Steel 150# Flanged Full Port RTFE BV F15,valve,ball,4,,,carbon steel,,,150,,,,full port,flanged,rtfe,f15,0.85
328,4 CS2 S2 150# Flanged Full Port 310 NACE BV Left Hand,valve,ball,4,,,carbon steel,,,150,,,,full port,flanged,CS2/S2,310 NACE locking handle,0.9
329,6 150# RF 2PC RP BV CS SS LO,valve,ball,6,,,carbon steel,,,150,,,,raised face,,stainless steel,2-piece reduced port lever operator,0.85
330,6 CS 150# Flanged Full Port BV,valve,ball,6,,,carbon steel,,,150,,,,full port,flanged,,,0.85
331,6 CS CS 150# Flanged SP 310 Forged Steel BV Gear Operator,valve,ball,6,,,carbon steel,,,150,,,forged,,flanged,carbon steel,reduced port gear operator,0.9
332,6 CS CS 150# NACE FS FLG BV WG,valve,ball,6,,,carbon steel,,,150,,,,,flanged,carbon steel,nace gear operator,0.9
333,6 CS SS 150# 2PC FP BV,valve,ball,6,,,carbon steel,,,150,,,,,,stainless steel,2-piece full port,0.8
334,6 CS SS 150# FLG FK BV FS LL,valve,ball,6,,,carbon steel,,,150,,,,,flanged,stainless steel,fk locking lever,0.8
335,6 CS Stainless Steel 150# Flanged 2 Piece Full Port BV,valve,ball,6,,,carbon steel,,,150,,,,,flanged,stainless steel,2-piece full port,0.9
336,6 CS Stainless Steel 150# Flanged Full Port BV GR Firesafe,valve,ball,6,,,carbon steel,,,150,,,,full port,flanged,stainless steel,firesafe,0.85
337,6 CS Stainless Steel 150# Flanged SP TFM BV RF15,valve,ball,6,,,carbon steel,,,150,,,,RF,flanged,TFM,reduced port,0.85
338,6 X 4 150# CS CS NACE Forged Steel Flanged BV Wall Ring,valve,ball,6,4    ,,carbon steel,,,150,,,forged,,flanged,carbon steel,nace wall ring,0.85
339,8 CS 150# WCB RF Reduced Port NACE BV With GEAR,valve,ball,8,,,carbon steel,,wcb,150,,,,raised face,,reduced port,nace gear operator,0.9
340,8 CS SS 150# FLG 2PC FP FS BV,valve,ball,8,,,carbon steel,,,150,,,,full port,flanged,stainless steel,2-piece,0.9
341,8 CS Stainless Steel 150# Flanged Full Port BV GR Gear Operator,valve,ball,8,,,carbon steel,,,150,,,,full port,flanged,stainless steel,gear operator,0.85
342,8 CS2 S2 150# Flanged SP 310 NACE BV Gear Operator,valve,ball,8,,,carbon steel,,,150,,,,reduced port,flanged,CS2/S2,310 NACE gear operator,0.9
343,Not for Potable Use 3 CS Stainless Steel 150# UBDY Reduced Port Flanged BV Forged Steel,valve,ball,3,,,carbon steel,,,150,,,forged,,flanged,stainless steel,reduced port not for potable use ubdy,0.85
344,3 CS 316 Stainless Steel 150# Flanged SP BV,valve,ball valve,3,,,carbon steel,,,150,,,,,flanged,316 stainless steel,reduced port,0.9
345,"TRUNNION BALL VALVE, CLASS 150, FULL PORT, 2 PIECE, WCB BODY, SS TRIM, DEVLON SEAT, HNBR SEALS, RF ENDS, GEAR OPERATED",valve,BALL VALVE FULL PORT,14,,,CARBON STEEL,WCB,,150,,,,RAISED FACE,,2-PIECE,,0.9
346,4 CS 150#FLG 1/16 Perforated Basket,flange,basket,4,,,carbon steel,,,150,,,,,,1/16 perforated,,0.8
347,3 Carbon Steel 150# Raised Face HH BLND Flange,flange,blind,3,,,carbon steel,,,150,,,,raised face,,,hex head,0.9
348,1 Carbon Steel LF2 150# Raised Face BLND Flange,flange,blind flange,1,,,carbon steel,LF2,,150,,,,raised face,,,,0.95
349,10 Carbon Steel 150# Raised Face BLND Flange,flange,blind flange,10,,,carbon steel,,,150,,,,rf,,,,0.9
350,1-1/2 Carbon Steel 150# Raised Face BLND Flange,flange,blind flange,1 1/2,,,carbon steel,,,150,,,,,,,raised face,0.9
351,24 CS 150# RF BLND FLG LRES,flange,blind flange,24,,,carbon steel,,,150,,,,raised face,,,low residual,0.9
352,30 Carbon Steel 150# Raised Face BLND Flange SER B,flange,blind flange,30,,,carbon steel,B16.47,,150,,,,raised face,,,series b,0.9
353,36 Carbon Steel 150# Raised Face BLND Flange SER B,flange,blind flange,36,,,carbon steel,,B,150,,,,raised face,,,ser b,0.9
354,4 CS Stainless Steel RTFE 150 Wafer HPBF NC Lo,valve,butterfly,4,,,carbon steel,,,150,,,,,wafer,rtfe,hpbf nc lever operator,0.85
355,8 CS Stainless Steel WAFER 150# XT Butterfly Valve,valve,butterfly,8,,,carbon steel,,,150,,,,wafer,,stainless steel,xtreme seats,0.85
356,"TRUNNION BALL VALVE, CLASS 600, FULL PORT, 2 PIECE, WCB BODY, ENP TRIM, DEVLON SEAT, HNBR SEALS, RF ENDS, GEAR OPERATED",valve,BUTTERFLY,14,,,CARBON STEEL,,,150,,,FORGED,LUG,,STAINLESS STEEL,HP GEAR OPERATOR,0.9
